0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:33 +0300] "GET /sports/static/auth/j_spring_security_logout HTTP/1.1" 200 42 7 thd-2 -
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:33 +0300] "GET /sports/static/vendor/kendo/js/messages/kendo.messages.en-US.min.js?_=1536319412022 HTTP/1.1" 200 26908 21 thd-8 37BA2D1310DBB4428B1269128BDD5DC0E3D28BCFD16C.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:33 +0300] "GET /sports/static/app/common/ConfirmCode.html HTTP/1.1" 304 - 4 thd-3 37BA2D1310DBB4428B1269128BDD5DC0E3D28BCFD16C.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:33 +0300] "GET /sports/static/app/common/Challenge.html HTTP/1.1" 304 - 8 thd-6 37BA2D1310DBB4428B1269128BDD5DC0E3D28BCFD16C.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:33 +0300] "GET /sports/static/app/common/PassReset.html HTTP/1.1" 304 - 6 thd-9 37BA2D1310DBB4428B1269128BDD5DC0E3D28BCFD16C.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:33 +0300] "POST /sports/static/auth/j_spring_security_check?_ts=153631941-8670960296-1 HTTP/1.1" 200 42 87 thd-4 83B5561E84E60EDC024A5ED70BACFD3660858849156F.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:33 +0300] "GET /sports/static/vendor/kendo/js/kendo.all.min.js.map HTTP/1.1" 200 12689296 221 thd-7 -
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:33 +0300] "GET /sports/static/home.html?_ts=153631941-8670960296-2 HTTP/1.1" 403 49 2 thd-10 83B5561E84E60EDC024A5ED70BACFD3660858849156F.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:33 +0300] "GET /sports/web/pdo/common HTTP/1.1" 200 1633 163 thd-1 83B5561E84E60EDC024A5ED70BACFD3660858849156F.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:33 +0300] "PUT /sports/web/pdo/common/user/translations?_ts=153631941-8670960296-3 HTTP/1.1" 200 369 126 thd-5 83B5561E84E60EDC024A5ED70BACFD3660858849156F.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:33 +0300] "GET /sports/static/vendor/spark/lib/spark.min.map HTTP/1.1" 200 54241 3 thd-2 83B5561E84E60EDC024A5ED70BACFD3660858849156F.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:33 +0300] "GET /sports/static/vendor/kendo/styles/kendo.common.min.css.map HTTP/1.1" 200 87047 3 thd-8 83B5561E84E60EDC024A5ED70BACFD3660858849156F.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:33 +0300] "GET /sports/static/vendor/kendo/styles/kendo.bootstrap.min.css.map HTTP/1.1" 200 26471 3 thd-6 83B5561E84E60EDC024A5ED70BACFD3660858849156F.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:33 +0300] "GET /sports/static/vendor/kendo/styles/kendo.common-bootstrap.min.css.map HTTP/1.1" 200 88098 4 thd-3 83B5561E84E60EDC024A5ED70BACFD3660858849156F.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:33 +0300] "GET /sports/static/vendor/bootstrap/dist/css/bootstrap.min.css.map HTTP/1.1" 200 542194 23 thd-9 83B5561E84E60EDC024A5ED70BACFD3660858849156F.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:34 +0300] "GET /sports/static/kendo.culture.en-US.min.js.map HTTP/1.1" 404 1126 51 thd-4 83B5561E84E60EDC024A5ED70BACFD3660858849156F.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:34 +0300] "GET /sports/static/kendo.messages.en-US.min.js.map HTTP/1.1" 404 1127 4 thd-7 83B5561E84E60EDC024A5ED70BACFD3660858849156F.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:41 +0300] "GET /sports/static/vendor/kendo/styles/Default/loading-image.gif HTTP/1.1" 304 - 5 thd-1 83B5561E84E60EDC024A5ED70BACFD3660858849156F.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:41 +0300] "PUT /sports/web/pdo/common/tfa/login?_ts=153631941-8670960296-4 HTTP/1.1" 200 63 105 thd-10 83B5561E84E60EDC024A5ED70BACFD3660858849156F.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:41 +0300] "GET /sports/static/auth/j_spring_security_logout HTTP/1.1" 200 42 0 thd-5 -
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:41 +0300] "POST /sports/static/auth/j_spring_security_check?_ts=153631941-8670960296-5 HTTP/1.1" 200 42 24 thd-2 61CC28450AFE1DCBB3C111DE896C08B7984D78FE06C8.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:41 +0300] "GET /sports/static/app.html HTTP/1.1" 200 1705 1 thd-8 61CC28450AFE1DCBB3C111DE896C08B7984D78FE06C8.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:41 +0300] "GET /sports/static/vendor/kendo/styles/kendo.common.min.css HTTP/1.1" 200 38603 12 thd-6 61CC28450AFE1DCBB3C111DE896C08B7984D78FE06C8.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:41 +0300] "GET /sports/static/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 7162 2 thd-9 61CC28450AFE1DCBB3C111DE896C08B7984D78FE06C8.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:41 +0300] "GET /sports/static/vendor/kendo/styles/kendo.common-bootstrap.min.css HTTP/1.1" 200 39284 16 thd-3 61CC28450AFE1DCBB3C111DE896C08B7984D78FE06C8.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:41 +0300] "GET /sports/static/vendor/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 200 20027 6 thd-9 61CC28450AFE1DCBB3C111DE896C08B7984D78FE06C8.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:41 +0300] "GET /sports/static/vendor/animate-css/animate.min.css HTTP/1.1" 200 4026 3 thd-3 61CC28450AFE1DCBB3C111DE896C08B7984D78FE06C8.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:41 +0300] "GET /sports/static/assets/css/font.css HTTP/1.1" 200 375 3 thd-3 61CC28450AFE1DCBB3C111DE896C08B7984D78FE06C8.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:41 +0300] "GET /sports/static/assets/css/icon.css HTTP/1.1" 200 2277 3 thd-9 61CC28450AFE1DCBB3C111DE896C08B7984D78FE06C8.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:41 +0300] "GET /sports/static/vendor/kendo/styles/kendo.default.min.css HTTP/1.1" 200 10078 17 thd-6 61CC28450AFE1DCBB3C111DE896C08B7984D78FE06C8.SportsDemo
0:0:0:0:0:0:0:1 - [07/Sep/2018:14:23:41 +0300] "GET /sports/static/assets/css/override.css HTTP/1.1" 200 1471 1 thd-6 61CC28450AFE1DCBB3C111DE896C08B7984D78FE06C8.SportsDemo
