0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:46 +0300] "GET /sports/static/assets/js/local.strings.en-US.js?_=1536227504969 HTTP/1.1" 200 619 21 thd-8 FE278112E956ADB0F2B5D0B427BC40FCDE29FB7E6682.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:46 +0300] "GET /sports/static/assets/fonts/opensans/opensans-webfont.woff HTTP/1.1" 200 21080 18 thd-5 CDA48FE76E67CDBC9A59728500C6AE4AC82873AA1D70.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:46 +0300] "GET /sports/static/app/common/Challenge.html HTTP/1.1" 200 1226 3 thd-6 CDA48FE76E67CDBC9A59728500C6AE4AC82873AA1D70.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:46 +0300] "GET /sports/static/app/common/PassReset.html HTTP/1.1" 200 1358 1 thd-10 CDA48FE76E67CDBC9A59728500C6AE4AC82873AA1D70.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:46 +0300] "GET /sports/static/app/common/ConfirmCode.html HTTP/1.1" 200 1166 2 thd-3 CDA48FE76E67CDBC9A59728500C6AE4AC82873AA1D70.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:46 +0300] "GET /favicon.ico HTTP/1.1" 200 370070 6 thd-4 -
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:46 +0300] "POST /sports/static/auth/j_spring_security_check?_ts=153622750-8393295401-1 HTTP/1.1" 200 42 98 thd-1 D128CC0270B5E9AB22814EDE707EFCC7CB52FF79A70B.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:46 +0300] "GET /sports/static/home.html?_ts=153622750-8393295401-2 HTTP/1.1" 403 49 1 thd-9 D128CC0270B5E9AB22814EDE707EFCC7CB52FF79A70B.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:46 +0300] "GET /sports/web/pdo/common HTTP/1.1" 200 1633 115 thd-2 D128CC0270B5E9AB22814EDE707EFCC7CB52FF79A70B.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:46 +0300] "PUT /sports/web/pdo/common/user/translations?_ts=153622750-8393295401-3 HTTP/1.1" 200 369 69 thd-7 D128CC0270B5E9AB22814EDE707EFCC7CB52FF79A70B.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:51 +0300] "GET /sports/static/vendor/kendo/styles/Default/loading-image.gif HTTP/1.1" 200 6138 4 thd-5 D128CC0270B5E9AB22814EDE707EFCC7CB52FF79A70B.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:51 +0300] "PUT /sports/web/pdo/common/tfa/login?_ts=153622750-8393295401-4 HTTP/1.1" 200 63 86 thd-8 D128CC0270B5E9AB22814EDE707EFCC7CB52FF79A70B.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:51 +0300] "GET /sports/static/auth/j_spring_security_logout HTTP/1.1" 200 42 0 thd-6 -
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:51 +0300] "POST /sports/static/auth/j_spring_security_check?_ts=153622750-8393295401-5 HTTP/1.1" 200 42 18 thd-10 DE16B2769CFE7D5D898D3AF0EB2FDD0A4DBF8114789F.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:51 +0300] "GET /sports/static/app.html HTTP/1.1" 200 1705 3 thd-3 DE16B2769CFE7D5D898D3AF0EB2FDD0A4DBF8114789F.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:51 +0300] "GET /sports/static/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 7162 4 thd-2 DE16B2769CFE7D5D898D3AF0EB2FDD0A4DBF8114789F.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:51 +0300] "GET /sports/static/vendor/animate-css/animate.min.css HTTP/1.1" 200 4026 2 thd-2 DE16B2769CFE7D5D898D3AF0EB2FDD0A4DBF8114789F.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:51 +0300] "GET /sports/static/vendor/kendo/styles/kendo.common.min.css HTTP/1.1" 200 38603 22 thd-4 DE16B2769CFE7D5D898D3AF0EB2FDD0A4DBF8114789F.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:51 +0300] "GET /sports/static/vendor/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 200 20027 21 thd-7 DE16B2769CFE7D5D898D3AF0EB2FDD0A4DBF8114789F.SportsDemo
0:0:0:0:0:0:0:1 - [06/Sep/2018:12:51:51 +0300] "GET /sports/static/assets/css/icon.css HTTP/1.1" 200 2277 6 thd-4 DE16B2769CFE7D5D898D3AF0EB2FDD0A4DBF8114789F.SportsDemo
