0:0:0:0:0:0:0:1 - [31/Aug/2018:08:43:55 +0300] "GET /sports/static/assets/fonts/opensans/opensans-webfont.woff HTTP/1.1" 200 21080 2 thd-8 3CF468E623FAD870BA36C5BB8C4FFBC079B7398047AD.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:43:55 +0300] "GET /sports/static/app/common/Challenge.html HTTP/1.1" 200 1226 4 thd-3 3CF468E623FAD870BA36C5BB8C4FFBC079B7398047AD.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:43:55 +0300] "GET /sports/static/app/common/PassReset.html HTTP/1.1" 200 1358 2 thd-3 3CF468E623FAD870BA36C5BB8C4FFBC079B7398047AD.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:43:55 +0300] "GET /sports/static/app/common/ConfirmCode.html HTTP/1.1" 200 1166 1 thd-1 3CF468E623FAD870BA36C5BB8C4FFBC079B7398047AD.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:43:55 +0300] "POST /sports/static/auth/j_spring_security_check?_ts=153569423-3004023709-1 HTTP/1.1" 200 42 58 thd-5 5EA0CD2AD6B572B6A3FDC8DD85D64144F27130B0BD42.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:43:56 +0300] "GET /sports/static/home.html?_ts=153569423-3004023709-2 HTTP/1.1" 403 49 1 thd-9 5EA0CD2AD6B572B6A3FDC8DD85D64144F27130B0BD42.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:43:56 +0300] "GET /sports/web/pdo/common HTTP/1.1" 200 1633 88 thd-7 5EA0CD2AD6B572B6A3FDC8DD85D64144F27130B0BD42.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:43:56 +0300] "PUT /sports/web/pdo/common/user/translations?_ts=153569423-3004023709-3 HTTP/1.1" 200 369 60 thd-6 5EA0CD2AD6B572B6A3FDC8DD85D64144F27130B0BD42.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:44:03 +0300] "GET /sports/static/vendor/kendo/styles/Default/loading-image.gif HTTP/1.1" 304 - 8 thd-5 5EA0CD2AD6B572B6A3FDC8DD85D64144F27130B0BD42.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:44:03 +0300] "PUT /sports/web/pdo/common/tfa/login?_ts=153569423-3004023709-4 HTTP/1.1" 200 63 85 thd-1 5EA0CD2AD6B572B6A3FDC8DD85D64144F27130B0BD42.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:44:03 +0300] "GET /sports/static/auth/j_spring_security_logout HTTP/1.1" 200 42 1 thd-9 -
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:44:03 +0300] "POST /sports/static/auth/j_spring_security_check?_ts=153569423-3004023709-5 HTTP/1.1" 200 42 23 thd-7 5F8430E5B0C1A27E5262E2A596A806A2F9DDA0B66B98.SportsDemo
0:0:0:0:0:0:0:1 - [31/Aug/2018:08:44:03 +0300] "GET /sports/static/app.html HTTP/1.1" 304 - 1 thd-6 5F8430E5B0C1A27E5262E2A596A806A2F9DDA0B66B98.SportsDemo
