0:0:0:0:0:0:0:1 - [03/Sep/2018:14:25:21 +0300] "PUT /sports/web/pdo/common/user/translations?_ts=153597392-5421496001-3 HTTP/1.1" 200 369 97 thd-9 F21879C3BDD2F1AB2BEA66E5F1BFBA5A671E99F15C9F.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:14:25:25 +0300] "PUT /sports/web/pdo/common/tfa/login?_ts=153597392-5421496001-4 HTTP/1.1" 200 63 91 thd-6 F21879C3BDD2F1AB2BEA66E5F1BFBA5A671E99F15C9F.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:14:25:25 +0300] "GET /sports/static/auth/j_spring_security_logout HTTP/1.1" 200 42 1 thd-3 -
0:0:0:0:0:0:0:1 - [03/Sep/2018:14:25:25 +0300] "POST /sports/static/auth/j_spring_security_check?_ts=153597392-5421496001-5 HTTP/1.1" 200 42 52 thd-10 E09B293643AD4648B694A488174E284B0F582E7EDD87.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:14:25:25 +0300] "GET /sports/static/vendor/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 7162 4 thd-8 E09B293643AD4648B694A488174E284B0F582E7EDD87.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:14:25:25 +0300] "GET /sports/static/vendor/kendo/styles/kendo.common.min.css HTTP/1.1" 200 38603 18 thd-4 E09B293643AD4648B694A488174E284B0F582E7EDD87.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:14:25:25 +0300] "GET /sports/static/vendor/animate-css/animate.min.css HTTP/1.1" 200 4026 4 thd-7 E09B293643AD4648B694A488174E284B0F582E7EDD87.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:14:25:25 +0300] "GET /sports/static/vendor/bootstrap/dist/css/bootstrap.min.css HTTP/1.1" 200 20027 16 thd-8 E09B293643AD4648B694A488174E284B0F582E7EDD87.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:14:25:25 +0300] "GET /sports/static/vendor/kendo/styles/kendo.common-bootstrap.min.css HTTP/1.1" 200 39284 30 thd-2 E09B293643AD4648B694A488174E284B0F582E7EDD87.SportsDemo
0:0:0:0:0:0:0:1 - [03/Sep/2018:14:25:25 +0300] "GET /sports/static/assets/css/icon.css HTTP/1.1" 200 2277 5 thd-9 E09B293643AD4648B694A488174E284B0F582E7EDD87.SportsDemo
